SalesOrder,CustomerOrderNumber,ShipToContact,ShipToAdd1,ShipToAdd2,ShipToAdd3,ShipToSuburb,ShipToState,ShipToPostCode,ShipToCountry,CreatedDate,PickedDate,DispatchedDate,ConsignmentNumber
"SO-00058911","SO-00058911","Endeavour Melbourne DC 3981","1-23 Interchange Drive","","","LAVERTON NORTH","VIC","3026","AU","23/10/24","24/10/24","29/10/24","425418"
"SO-00058932","SO-00058932","Endeavour Kemps Creek Liquor DC 4909","6 Cuprum Close","","","KEMPS CREEK","NSW","2178","AUSTRALIA","24/10/24","25/10/24","29/10/24","425215"
"SO-00058936","SO-00058936","Endeavour Perth Liquor DC 4943","20-60 Colquhoun Road","","","PERTH AIRPORT","WA","6105","AUSTRALIA","25/10/24","29/10/24","29/10/24","425985"
"SO-00058945","SO-00058945","Kiama Sweet Company","15-106 Terralong Street","","","KIAMA","NSW","2533","AUSTRALIA","28/10/24","29/10/24","29/10/24","TTLB013030"
"SO-00058946","SO-00058946","BWS Benalla 3363","Cnr Bridge Road And Smythe Street","Vendor No.4114001","","BENALLA","VIC","3672","AUSTRALIA","28/10/24","29/10/24","29/10/24","TTLB012996"
"SO-00058947","SO-00058947","BWS Echuca West 7638","31 Murray Valley Highway","Vendor No.4114001","","ECHUCA WEST","VIC","3564","AUSTRALIA","28/10/24","29/10/24","29/10/24","TTLB013008"
"SO-00058948","SO-00058948","Dan Murphy's Shepparton 3692","428-452 Wyndham Street","Vendor No.4114001","","SHEPPARTON","VIC","3630","AUSTRALIA","28/10/24","29/10/24","29/10/24","TTLB013014"
"SO-00058949","SO-00058949","Dan Murphy's Echuca 3624","166-168 Annesley Street","Vendor No.4114001","","ECHUCA","VIC","3564","AUSTRALIA","28/10/24","29/10/24","29/10/24","TTLB013020"
"SO-00058950","SO-00058950","Dan Murphy's Strathpine 2001","260 Gympie Road","Vendor No.4114001","","STRATHPINE","QLD","4500","AUSTRALIA","28/10/24","29/10/24","29/10/24","TTLB013000"
"SO-00058951","SO-00058951","BWS Wodonga 3008","255 Beechworth Rd","Vendor No.4114001","","WODONGA","VIC","3690","AUSTRALIA","28/10/24","29/10/24","29/10/24","TTLB013005"
"SO-00058952","SO-00058952","BWS Swan Hill (Beveridge St) 3386","Beveridge Street","Vendor No.4114001","","SWAN HILL","VIC","3585","AUSTRALIA","28/10/24","29/10/24","29/10/24","TTLB012994"
"SO-00058953","SO-00058953","The Liquor Co-Op","13 Grant St","","","BACCHUS MARSH","VIC","3340","AUSTRALIA","28/10/24","29/10/24","29/10/24","TTLB013034"
"SO-00058955","SO-00058955","Martha's Food & Home","Matha's Food & Home","145 Summer St","","ORANGE","NSW","2800","AUSTRALIA","28/10/24","29/10/24","29/10/24","TTLB013029"
"SO-00058956","SO-00058956","BWS Moama 3718","Cnr Cobb Highway And Perricoota Rd","Vendor No.4114001","","MOAMA","NSW","2731","AUSTRALIA","28/10/24","29/10/24","29/10/24","TTLB013018"
"SO-00058957","SO-00058957","BWS Stawell 3654","26-32 Scallan Street","Vendor 4114001","","STAWELL","VIC","3380","AUSTRALIA","28/10/24","29/10/24","29/10/24","TTLB013021"
"SO-00058958","SO-00058958","BWS Swan Hill 3772","Cnr Campbell St and Rutherford St","Vendor No.4114001","","SWAN HILL","VIC","3585","AUSTRALIA","28/10/24","29/10/24","29/10/24","TTLB013015"
"SO-00058959","SO-00058959","Stony Creek Fish Farm","PO Box 459","","","BRIGHT","VIC","3741","AUSTRALIA","28/10/24","29/10/24","29/10/24","TTLB013024"
"SO-00058960","SO-00058960","Cellarbrations Kialla","Shop 22c Riverside Plaza","","","KIALLA","VIC","3631","AUSTRALIA","28/10/24","29/10/24","29/10/24","TTLB013028"
"SO-00058962","SO-00058962","Abermain Bowling and Recreational Club","64 Armidale Street","","","ABERMAIN","NSW","2326","AUSTRALIA","28/10/24","29/10/24","29/10/24","TTLB013026"
"SO-00058963","SO-00058963","Prices Plus","Prices Plus","1/37 Transport Street","","YATALA","QLD","4207","AUSTRALIA","28/10/24","29/10/24","29/10/24","TTLB013035"
"SO-00058964","SO-00058964","The BBQ Garden","37 Gladstone St","","","GLENROWAN","VIC","3675","AUSTRALIA","28/10/24","29/10/24","29/10/24","TTLB012999"
"SO-00058965","SO-00058965","BWS Wodonga Central 3445","Cnr Elgin Blvd and Hume St","Vendor No.4114001","","WODONGA","VIC","3690","AUSTRALIA","28/10/24","29/10/24","29/10/24","TTLB013019"
"SO-00058966","SO-00058966","Dan Murphy's Hogans Corner 3082","150 Hogans Road","Vendor No.4114001","","HOPPERS CROSSING","VIC","3029","AUSTRALIA","28/10/24","29/10/24","29/10/24","TTLB013022"
"SO-00058967","SO-00058967","Dan Murphy's Albury 3342","428-432 Dean Street","Vendor No.4114001","","ALBURY","NSW","2640","AUSTRALIA","28/10/24","29/10/24","29/10/24","TTLB013002"
"SO-00058968","SO-00058968","Ritchies Hawthorn Square","Ritchies Hawthorn Square","102 Burwood Road","","HAWTHORN","VIC","3122","AUSTRALIA","28/10/24","29/10/24","29/10/24","TTLB012993"
"SO-00058969","SO-00058969","BWS Bright 3326","87-91 Gavan Street","Vendor No.4114001","","BRIGHT","VIC","3741","AUSTRALIA","28/10/24","29/10/24","29/10/24","TTLB013009"
"SO-00058970","SO-00058970","Ritchies Woodend GROCERY","128 High Street","","","WOODEND","VIC","3442","AUSTRALIA","28/10/24","29/10/24","29/10/24","TTLB012992"
"SO-00058971","SO-00058971","BWS Kyabram 3601","17-19 Bradley Street","Vendor No.4114001","","KYABRAM","VIC","3620","AUSTRALIA","28/10/24","29/10/24","29/10/24","TTLB013010"
"SO-00058972","SO-00058972","Brunswick Supa IGA","614-618 SYDNEY ROAD","","","BRUNSWICK","VIC","3056","AUSTRALIA","28/10/24","29/10/24","29/10/24","TTLB012995"
"SO-00058973","SO-00058973","Dan Murphys Epsom 3885","176-180 Midland Highway","Vendor No.4114001","","EPSOM","VIC","3551","AUSTRALIA","28/10/24","29/10/24","29/10/24","TTLB013013"
"SO-00058974","SO-00058974","Dan Murphy's Armstrong Creek 3791","500 Torquay Road","Vendor No.4114001","","ARMSTRONG CREEK","VIC","3217","AUSTRALIA","28/10/24","29/10/24","29/10/24","TTLB013025"
"SO-00058975","SO-00058975","Ritchies Taren Point GROCERY","123 Paraweena Rd","","","TAREN POINT","NSW","2229","AUSTRALIA","28/10/24","29/10/24","29/10/24","TTLB012998"
"SO-00058976","SO-00058976","BWS Cobram 3380","54-58 Punt Road","Vendor No.4114001","","COBRAM","VIC","3644","AUSTRALIA","28/10/24","29/10/24","29/10/24","TTLB013011"
"SO-00058977","SO-00058977","BWS Rosenthal 3796","90 Vineyard Road","Vendor No.4114001","","SUNBURY","VIC","3429","AUSTRALIA","28/10/24","29/10/24","29/10/24","TTLB013012"
"SO-00058979","SO-00058979","BWS Yarrawonga Central 3482","157-161 Belmore Street","Vendor No.4114001","","YARRAWONGA","VIC","3730","AUSTRALIA","28/10/24","29/10/24","29/10/24","TTLB013007"
"SO-00058980","SO-00058980","Ritchies Pentridge GROCERY","1 champ street","","","COBURG","VIC","3058","AUSTRALIA","28/10/24","29/10/24","29/10/24","TTLB013031"
"SO-00058981","SO-00058981","Dan Murphy's Hervey Bay 2062","155 Boat Harbour Drive","Vendor No.4114001","","URRAWEEN","QLD","4655","AUSTRALIA","28/10/24","29/10/24","29/10/24","TTLB013027"
"SO-00058982","SO-00058982","Dan Murphy's Melton Woodgrove 3257","553 High Street","Vendor No.4114001","","MELTON","VIC","3337","AUSTRALIA","28/10/24","29/10/24","29/10/24","TTLB013017"
"SO-00058983","SO-00058983","Metcash Trading Ltd WA","218 Bannister Road","","","CANNING VALE","WA","6155","AUSTRALIA","28/10/24","29/10/24","29/10/24","428754"
"SO-00058985","SO-00058985","Lees Supa IGA","Shop 15 78 Nepean St","","","WATSONIA","VIC","3087","AUSTRALIA","28/10/24","29/10/24","29/10/24","TTLB013001"
"SO-00058987","SO-00058987","Metcash Trading Ltd SA","50 Port Wakefield Rd","","","GEPPS CROSS","SA","5094","AUSTRALIA","28/10/24","29/10/24","29/10/24","428741"
"SO-00058987N","","Metcash Trading Ltd SA","50 Port Wakefield Road","","","GEPPS CROSS","SA","5094","AU","29/10/24","29/10/24","29/10/24","428797"
"SO-00058987R","","Metcash Trading Ltd SA","50 Port Wakefield Road","","","GEPPS CROSS","SA","5094","AU","29/10/24","29/10/24","29/10/24","428797"
